Time (s), Node Label, Z Position (m), NT (K)
0.0,871,-3543.704345703125,310.0610046386719
0.0,872,-3545.614013671875,310.10101318359375
0.0,873,-3547.492431640625,310.1409912109375
0.0,874,-3549.33984375,310.1809997558594
0.0,875,-3551.15673828125,310.218994140625
0.0,876,-3552.94384765625,310.25799560546875
0.0,877,-3554.701416015625,310.2950134277344
0.0,878,-3556.43017578125,310.3320007324219
0.0,879,-3558.130615234375,310.3680114746094
0.0,880,-3559.802978515625,310.40399169921875
0.0,881,-3561.44775390625,310.4389953613281
0.0,882,-3563.065673828125,310.4729919433594
0.0,883,-3564.65673828125,310.5069885253906
0.0,884,-3566.2216796875,310.5409851074219
0.0,885,-3567.760986328125,310.572998046875
0.0,886,-3569.27490234375,310.6059875488281
0.0,887,-3570.763916015625,310.6369934082031
0.0,888,-3572.228515625,310.66900634765625
0.0,889,-3573.6689453125,310.6990051269531
0.0,890,-3575.085693359375,310.7300109863281
0.0,891,-3576.47900390625,310.7590026855469
0.0,892,-3577.849609375,310.7879943847656
0.0,893,-3579.197509765625,310.8169860839844
0.0,894,-3580.523193359375,310.8450012207031
0.0,895,-3581.8271484375,310.87298583984375
0.0,896,-3583.10986328125,310.9010009765625
0.0,897,-3584.37109375,310.927001953125
0.0,898,-3585.61181640625,310.9540100097656
0.0,899,-3586.83203125,310.9800109863281
0.0,900,-3588.0322265625,311.0050048828125
0.0,901,-3589.212646484375,311.031005859375
0.0,902,-3590.373779296875,311.05499267578125
0.0,903,-3591.515625,311.0799865722656
0.0,904,-3592.638671875,311.10400390625
0.0,905,-3593.743408203125,311.12701416015625
0.0,906,-3594.829833984375,311.1499938964844
0.0,907,-3595.8984375,311.1730041503906
0.0,908,-3596.949462890625,311.1960144042969
0.0,909,-3597.983154296875,311.2179870605469
0.0,910,-3599.0,311.239013671875
1.0,2,-3600.0,311.20599365234375
1.0,3,-4100.0,321.8609924316406
1.0,6,-2500.0,287.8139953613281
1.0,37,-3601.0,311.22698974609375
1.0,38,-3602.03662109375,311.2489929199219
1.0,39,-3603.111083984375,311.2720031738281
1.0,40,-3604.224853515625,311.2959899902344
1.0,41,-3605.37939453125,311.32000732421875
1.0,42,-3606.575927734375,311.34600830078125
1.0,43,-3607.81640625,311.37200927734375
1.0,44,-3609.102294921875,311.3999938964844
1.0,45,-3610.43505859375,311.4280090332031
1.0,46,-3611.816650390625,311.4580078125
1.0,47,-3613.248779296875,311.4880065917969
1.0,48,-3614.7333984375,311.5199890136719
1.0,49,-3616.272216796875,311.552001953125
1.0,50,-3617.8671875,311.58599853515625
1.0,51,-3619.5205078125,311.62200927734375
1.0,52,-3621.234375,311.6579895019531
1.0,53,-3623.0107421875,311.6960144042969
1.0,54,-3624.852294921875,311.7349853515625
1.0,55,-3626.760986328125,311.7760009765625
1.0,56,-3628.73974609375,311.8179931640625
1.0,57,-3630.79052734375,311.86199951171875
1.0,58,-3632.91650390625,311.9070129394531
1.0,59,-3635.1201171875,311.9540100097656
1.0,60,-3637.404541015625,312.00299072265625
